Scrap,Steel,Energy,Power,P_on,P_off,TaptoTap,Delay,Temp,C,O,T_O2,T_NG,RCB_O2_Lc,RCB_O2_Bur,RCB_NG,PCC_NG,FB_NG,FB_O2,O2_Top_Lc,Alloy,Slag,F_Carbon,F_Lime,F_Dolo,Inj_Carbon
97.32000214,80.028,327.4373439296246,42.66619662415197,36.85,8.366666666666667,45.21666666666667,2.1166666666666667,1609.5,0.069,387.2,30.676436472234712,13.54643538511521,4.444024691358025,5.053809204278502,2.673542597590843,10.411048820412857,0.4618439671115109,0.7708572749537661,20.4077452891488,13.695206677662815,4.148548008197131,2.49912530614285,29.9895036737142,32.48862897985705,17.962463137901732
97.0,79.90600391,342.656736042502,42.26809166552315,38.86666666666667,10.8,49.66666666666666,2.1166666666666667,1579.400024,0.0875,132.1,32.28867624147468,14.938622388681534,5.002502258156036,5.057347473603628,2.6372968824389806,11.818023787844806,0.48330173091245,0.8070031642757444,21.421823345439275,14.028983369792943,4.179911191356685,5.005881666295431,30.035289997772587,32.5382308309203,16.253472035252976
96.86,82.41800391,324.97445302421664,42.77794350665483,37.56666666666667,9.7,47.266666666666666,2.316666666666667,1576.699951,0.106,265.7,31.018408390376173,14.37173380580117,5.2932854874330095,4.807118362544192,2.515088417166205,11.392209377277553,0.4644360113574122,0.77512054368316,20.14288399671581,13.892595618432274,2.3295880862349314,3.0333178206184006,29.119851077936644,31.54650533443137,17.414277608170238
96.79,82.935,329.2436135527823,42.33460324031008,38.7,13.9,52.6,5.766666666666667,1587.0,0.075,324.8,31.990124591547595,14.704982637004884,5.180389702779285,5.294639006450835,2.7743327545668297,11.402302562247542,0.5283473201905107,0.8846795080484717,20.630416374269007,13.601012841381804,3.798155181768855,3.617290649303672,28.93832519442937,31.349852293965156,15.40965816603364
97.05,81.076,317.469022398737,42.272274843065695,36.53333333333333,11.316666666666666,47.85,4.5,1589.5,0.104,251.4,30.909852151068137,13.52908192313385,4.668559721742563,5.271122860032563,2.7369318047264297,10.305424330258033,0.486725800483497,0.8136299028072426,20.15653965415166,14.122551679905277,3.99625043169372,3.700231881197889,29.601855049583108,32.06867630371504,17.865952933050472
97.02,82.40399219000001,335.7882256019858,42.19103987801778,39.35,9.983333333333333,49.333333333333336,1.65,1605.599976,0.14,182.5,32.53812705842886,13.112595582852428,5.492919238140129,4.96694722090988,2.6075941382130745,10.01366922973104,0.4913322149083126,0.821630702598609,21.256629908915578,13.907093206815176,3.956119009966621,3.6406003159202034,29.124802527361627,31.55186940464176,18.75212546058565
76.76,87.146,248.45648509398023,42.22489699891658,30.766666666666666,12.966666666666669,43.73333333333333,6.033333333333333,1619.300049,0.065,397.9,24.28177756867785,11.688142507975122,4.300795790971473,3.9534803548068753,2.087368416221054,9.19627497532876,0.4044991279003052,0.6745976407408257,15.352903782158675,13.161820393362865,3.3736488192229133,3.4424987951254216,18.35999357400225,20.65499277075253,9.598834140408051
122.8899989,81.97999219,484.4674150242804,39.93851554189944,59.66666666666666,76.45,136.11666666666667,68.18333333333334,1593.199951,0.163,155.3,40.48915391827631,23.913558669979174,5.991366891834294,6.613810144594501,3.421338737748908,19.71452560344529,0.7776943287849806,1.301932387998194,26.582044506047417,15.78433914705646,0.0,6.099049129465402,36.59429477679242,43.913153732150896,16.930960383395956
96.52,81.42,332.2385876934414,42.175451241229965,38.48333333333333,12.383333333333333,50.86666666666667,2.6,1580.5,0.068,378.6,32.30740418816016,12.517174342913288,5.109853426676492,5.0565098870056495,2.638454900515844,9.4083856791943,0.4703337632031442,0.7856770572340948,21.355363829525917,15.8069270449521,7.860476541390321,3.684598378776714,29.476787030213707,31.933185949398183,14.83357897322525
96.56,83.11199609,315.8959545571419,41.72939338807947,37.75,9.5,47.25,1.8,1602.699951,0.101,261.5,30.699070471572885,13.787414824679852,4.403393676211248,4.869035169866295,2.5254976041329247,10.823359651065264,0.438557557449707,0.7320647783999095,20.69457684709543,15.352777697918,3.8261624670359904,4.812782977403762,28.876697864422567,31.28308935312445,18.372799016238854
96.33,82.41799609,342.5408614542305,41.70435493147312,40.61666666666667,10.383333333333333,51.0,2.716666666666667,1620.199951,0.096,281.3,28.572061754917147,14.326477505114502,5.668187922087587,5.269618925528525,2.766955699225858,11.056200116840284,0.5033216890483608,0.841894347009232,16.79236054815853,15.603388349744575,3.785580999315947,4.853308973481983,29.1198538408919,31.54650832763289,15.997719703839987
96.57000391,81.74999219,319.5088604937517,41.84755169559412,37.45,12.45,49.9,2.6666666666666665,1633.699951,0.086,320.2,31.795857422943687,14.205957870930042,4.519852541896616,5.379531119438997,2.7904314837097237,10.96551226471744,0.4500141225028782,0.7514193745392699,21.145054399301223,13.357799441277232,6.727829388921682,3.669725121230008,29.357800969840067,31.80428438399341,17.235475652710274
